status,race_id,event_slug,event_name,race_name,date,distance_km,elevation_gain_m,city,province,official_url,admin_url,gpx_url,source,confidence,evidence,notes,uploaded,upload_status
,3cf69970-c638-41c7-a838-d2b4c441dad7,carrera-atletica-de-montana-monte-naranco,Carrera Atlética de Montaña «Monte Naranco»,,2026-09-05,10,446,Oviedo,Asturias,https://caoviedo.es/blog/1-agosto-abren-las-inscripciones-para-la-xxiii-carrera-atletica-de-montana-monte-naranco/,https://www.trailrunningcal.com/es/e/carrera-atletica-de-montana-monte-naranco,,,,,,,
,703de071-e98f-43fc-893a-233803502211,carrera-de-montana-villa-de-hermigua,Carrera de Montaña Villa de Hermigua,Carrera corta,2026-09-05,10,485,Hermigua,Santa Cruz de Tenerife,https://www.conxip.com/eventos/detalle/3314,https://www.trailrunningcal.com/es/e/carrera-de-montana-villa-de-hermigua,,,,,,,
,9df23939-cc8b-429e-b5e2-3ff17373e606,carrera-de-montana-villa-de-hermigua,Carrera de Montaña Villa de Hermigua,Carrera larga,2026-09-05,21,813,Hermigua,Santa Cruz de Tenerife,https://www.conxip.com/eventos/detalle/3314,https://www.trailrunningcal.com/es/e/carrera-de-montana-villa-de-hermigua,,,,,,,
not_found,b5ad6eef-75e3-467c-9ff3-809f418cf312,night-trail-san-julian,Night Trail San Julián,Marcha,2026-09-05,9,500,Cuenca,Cuenca,https://www.circuitomontanadipucuenca.com/index.php/calendario/69-vii-night-trail-san-julian?date=2026-09-05-20-30,https://www.trailrunningcal.com/es/e/night-trail-san-julian,,,,9km/500m Marcha; no candidate. Sibling race row (13km) holds the Wikiloc race track (id 230865028); no separate 9km walk recording found.,"Marcha is a distinct 9km walk, not the 13.3km competitive course.",,skipped: walk with no own track; race track belongs to sibling row
,e4856f70-78a3-4f43-bf46-945117e1765c,tinajo-youtrail,Tinajo YouTrail,,2026-09-05,8,151,Tinajo,Las Palmas,https://www.tinajoyoutrail.com/,https://www.trailrunningcal.com/es/e/tinajo-youtrail,,,,,,,
,042a12b4-7607-4e76-9fd0-a9ede2b918d7,tinajo-youtrail,Tinajo YouTrail,,2026-09-05,14,256,Tinajo,Las Palmas,https://www.tinajoyoutrail.com/,https://www.trailrunningcal.com/es/e/tinajo-youtrail,,,,,,,
,7c674f4f-a14e-4929-95d4-21ad5e62b866,tinajo-youtrail,Tinajo YouTrail,,2026-09-05,33,840,Tinajo,Las Palmas,https://www.tinajoyoutrail.com/,https://www.trailrunningcal.com/es/e/tinajo-youtrail,,,,,,,
,1a404780-7a1f-4a5a-a75b-625d2a0af21c,trail-del-infiernu,Trail del Infiernu,Speed Trail,2026-09-05,12,500,Ribadesella,Asturias,https://inscripciones.empa-t.com/inscripcion/ii-trail-del-infiernu-2026/?lang=es,https://www.trailrunningcal.com/es/e/trail-del-infiernu,,,,,,,
,93770e0d-8da5-4ce9-8c36-e7055e0aa5b8,trail-del-infiernu,Trail del Infiernu,Original Trail,2026-09-05,21,700,Ribadesella,Asturias,https://inscripciones.empa-t.com/inscripcion/ii-trail-del-infiernu-2026/?lang=es,https://www.trailrunningcal.com/es/e/trail-del-infiernu,,,,,,,
found,eaccbfd5-fb59-4652-a21e-320e10bf4251,trail-valle-de-tena,Trail Valle de Tena,4K,2026-09-05,42,3510,Panticosa,Huesca,https://trailvalledetena.com/homepage/,https://www.trailrunningcal.com/es/e/trail-valle-de-tena,https://es.wikiloc.com/rutas-carrera-por-montana/trail-valle-de-tena-4k-2025-229443329,wikiloc,high,Wikiloc 'Trail Valle de Tena 4k - 2025': 42.57 km / 3386 m vs 42 km / 3510 m in the DB. One way from Banos de Panticosa.,Alternative: wikiloc.com/trail-running-trails/4k-trail-valle-de-tena-2024-173747357 (2024 edition).,,"skipped: production/CSV distance_km=42 & elevation=3510 are garbled for a 4K race; Wikiloc track ""Trail Valle de Tena 4k - 2025"" (official) is the correct ~4km route but fails the +-20% gate vs the corrupt figure; needs catalogue data fix first"
